Model,Accuracy,Weighted_F1,F1_CSAT_1,F1_CSAT_2,F1_CSAT_3,F1_CSAT_4,F1_CSAT_5
RF Baseline,0.5082450626624763,0.5417977431076658,0.367585888152827,0.020833333333333332,0.04471722928540114,0.19098497495826378,0.6731623617366792
RF Optimized,0.4512086291855818,0.5077338041569277,0.4091123330714847,0.040061633281972264,0.05998681608437706,0.21833376860799164,0.6100401879980928
LR Baseline,0.31855042098319947,0.3933252891598901,0.4070014722722068,0.041979787509717544,0.06884875846501129,0.21623874624874959,0.4455527161816833
LR Optimized,0.3192488262910798,0.39372459596349374,0.3884628209403134,0.04268463914630722,0.06550137994480221,0.21568302387267904,0.4498529892192094
sgd_baseline,0.3779148721530284,0.4513287072639639,0.41128372853638595,0.041643633683434676,0.06517690875232775,0.20923255588889964,0.529809885931559
sgd_optimized,0.31649400535444067,0.3904879121134263,0.40395976369152164,0.043301069791136015,0.06908140403286034,0.21603318378058073,0.4420373739044154
